Component,Description,Value,Footprint,Quantity Per PCB,Digikey,Ordered ,,,
1,Unpolarized capacitor,10000 pF,0603,25,_1276-1132-1-ND_,,,,
2,Unpolarized capacitor,0.1uF,0603,25,_1276-1006-1-ND_,,,,
3,Unpolarized capacitor,10uF,0603,5,_1276-1192-1-ND_,,,,
4,Unpolarized capacitor,1uF,0603,2,1276-1102-1-ND_,,,,
5,Unpolarized capacitor,4.7uF,0603,2,_1276-1044-1-ND_,,,,
6,Diode,AD1580,SOT-23,1,_AD1580ARTZ-REEL7CT-ND_,,,,
7,Micro SD Card Socket,Micro_SD_Card,DM3AT-SF-PEJM5,1,_HR1964CT-ND_,,,,
8,Mini-DIN-6,Mini-DIN-6,CUI_MD-60S,1,_CP-2460-ND_,,,,
9,USB_B_Micro,USB_B_Micro,USB_Micro-B,1,_609-4618-1-ND_,,,,
10,Resistor,100,0603,4,311-100HRCT-ND,,,,
11,Resistor,10k,0603,10,N/A,0,,,
12,Resistor,120,0603,1,311-120HRCT-ND,,,,
13,Resistor,1k,0603,1,N/A,0,,,
14,Resistor,2.2k,0603,3,311-2.20KHRCT-ND,,,,
15,Resistor,530,0603,1,_311-536HRCT-ND_,,,,
16,Resistor,75,0603,3,311-75.0HRCT-ND,,,,
17,"SPI Serial EEPROM, DIP-8/SOIC-8/TSSOP-8",25LCxxx,SOIC-8_3.9x4.9mm_P1.27mm,1,_W25Q128JVSIMCT-ND_,,,,
18,68000D,68000D,DIP-64_W22.86mm_Socket_LongPads,1,N/A,0,,,
19,"Single Schmitt Buffer Gate, Low-Voltage CMOS",74LVC1G17,SOT-23-5,1,_296-35948-1-ND_,,,,
20,"Serial EEPROM, 93 Series, with ORG Pin, 2.5V, DIP-8/SOIC-8",93LC56,SOIC-8_3.9x4.9mm_P1.27mm,1,_93LC56BT-I/SNCT-ND_,,,,
21,,ADV7125KSTZ50,LQFP-48_7x7mm_P0.5mm,1,_ADV7125KSTZ50-ND_,,,,
22,,AS6C1616,TSOP-I-48_18.4x12mm_P0.5mm,1,_1450-1022-ND_,,,,
23,,ATL431BQDBZR,SOT-23,1,_296-44371-1-ND_,,,,
24,"FT2232Hx, Hi Speed Double Channel USB UART/FIFO, LQFP/QFN-64",FT2232H,LQFP-64_10x10mm_P0.5mm,1,_768-1347-ND_,,,,
25,"800mA Fixed Low Drop Positive Voltage Regulator, Fixed Output 1.2V, SOT-223",LD1117S12TR_SOT223,SOT-223-3_TabPin2,1,_497-4240-1-ND_,,,,
26,"800mA Fixed Low Drop Positive Voltage Regulator, Fixed Output 3.3V, SOT-223",LD1117S33TR_SOT223,SOT-223-3_TabPin2,1,_497-1242-1-ND_,,,,
27,,SN74LVC8T245PWR,TSSOP-24_4.4x7.8mm_P0.65mm,2,_296-18593-1-ND_,,,,
28,,TXB0108DQSR,USON-20_2x4mm_P0.4mm,5,_296-27217-1-ND_,,,,
29,,iCE40-HX4K-TQ144,TQFP-144_20x20mm_P0.5mm,1,_220-1572-ND_,,,,
30,"3.3V HCMOS SMD Crystal Clock Oscillator, Abracon",ASV-12.000MHz,Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm,1,_535-9309-1-ND_,,,,
